raw_text,text_tfidf,text_bert,time
﻿﻿온다,온다,온다,2025-03-31T23:25:01+09:00
﻿﻿매일매일 가난해지는중. 미장은 언제까지 쉬어야하나,매일매일 가난해지는중 미장은 언제까지 쉬어야하나,매일매일 가난해지는중. 미장은 언제까지 쉬어야하나,2025-03-28T08:10:29+09:00
﻿﻿환율 높아 사지도 못하고 ㅇ같네 ㅠㅠ,환율 높아 사지도 못하고 같네,환율 높아 사지도 못하고 ㅇ같네 ㅠㅠ,2025-04-01T02:00:33+09:00
﻿﻿황이 미국이랑 중국사이에서 박쥐짓하다가 중국한테 뒤통수 쌔게맞음(정부의 막대한 자본으로 자체칩 개발은 물론 Ai전체에 투자중) 트럼프한테 미국에 투자 부랴부랴 하겠다고하지만 자체칩 개발중인 2세대 칩들이 치고 올라올것. 성장하긴 하겠지만 어쩌면 Ai로 주가 뻥튀기한거 모조리 반납하거나 상승속도는 더딜것. 월가는 이러한 흐름을 선반영중.  장기투자 할꺼면 이딴 개잡주행 된거에 넣지말고 전세계 70억 인구를 사로잡은 애플에 1주라도 더 넣으셈. 애플은 절대 지지않는 태양과도 같은 기업임.,황이 미국이랑 중국사이에서 박쥐짓하다가 중국한테 뒤통수 쌔게맞음정부의 막대한 자본으로 자체칩 개발은 물론 Ai전체에 투자중 트럼프한테 미국에 투자 부랴부랴 하겠다고하지만 자체칩 개발중인 2세대 칩들이 치고 올라올것 성장하긴 하겠지만 어쩌면 Ai로 주가 뻥튀기한거 모조리 반납하거나 상승속도는 더딜것 월가는 이러한 흐름을 선반영중 장기투자 할꺼면 이딴 개잡주행 된거에 넣지말고 전세계 70억 인구를 사로잡은 애플에 1주라도 더 넣으셈 애플은 절대 지지않는 태양과도 같은 기업임,황이 미국이랑 중국사이에서 박쥐짓하다가 중국한테 뒤통수 쌔게맞음정부의 막대한 자본으로 자체칩 개발은 물론 Ai전체에 투자중 트럼프한테 미국에 투자 부랴부랴 하겠다고하지만 자체칩 개발중인 2세대 칩들이 치고 올라올것. 성장하긴 하겠지만 어쩌면 Ai로 주가 뻥튀기한거 모조리 반납하거나 상승속도는 더딜것. 월가는 이러한 흐름을 선반영중. 장기투자 할꺼면 이딴 개잡주행 된거에 넣지말고 전세계 70억 인구를 사로잡은 애플에 1주라도 더 넣으셈. 애플은 절대 지지않는 태양과도 같은 기업임.,2025-03-25T11:53:16+09:00
﻿﻿내평단 까지 가겟노,내평단 까지 가겟노,내평단 까지 가겟노,2025-03-31T23:27:38+09:00
﻿﻿쩌억 100불만,쩌억 100불만,쩌억 100불만,2025-03-31T22:42:49+09:00
﻿﻿오늘 종가 보고 드갈지 말지 결정한다잇,오늘 종가 보고 드갈지 말지 결정한다잇,오늘 종가 보고 드갈지 말지 결정한다잇,2025-03-25T23:03:17+09:00
﻿﻿슬금슬금 가자,슬금슬금 가자,슬금슬금 가자,2025-03-25T23:40:55+09:00
﻿﻿long...이 아니라 longest 가 되신분들 다들 화이팅이야 젠장,long이 아니라 longest 가 되신분들 다들 화이팅이야 젠장,long...이 아니라 longest 가 되신분들 다들 화이팅이야 젠장,2025-03-31T09:54:26+09:00
﻿﻿왜그러는겨,왜그러는겨,왜그러는겨,2025-03-25T21:07:42+09:00
﻿﻿헉 왜이러는건가요... 저 무서워요... 오늘 변동성 장난업네...,헉 왜이러는건가요 저 무서워요 오늘 변동성 장난업네,헉 왜이러는건가요... 저 무서워요... 오늘 변동성 장난업네...,2025-03-28T21:02:57+09:00
﻿﻿들어 가기만하면 물리는구만,들어 가기만하면 물리는구만,들어 가기만하면 물리는구만,2025-03-27T16:16:19+09:00
﻿﻿넌 답이 없구나,넌 답이 없구나,넌 답이 없구나,2025-03-24T22:45:37+09:00
﻿﻿여름까지 안봐야것다,여름까지 안봐야것다,여름까지 안봐야것다,2025-03-27T09:59:03+09:00
﻿﻿주린이인데  저가 모르고 nbdl 2배롱을 방금 1분전에 삿는데... 팔고 이걸로 다시사야하나여?,주린이인데 저가 모르고 nbdl 2배롱을 방금 1분전에 삿는데 팔고 이걸로 다시사야하나여,주린이인데 저가 모르고 nbdl 2배롱을 방금 1분전에 삿는데... 팔고 이걸로 다시사야하나여?,2025-03-28T01:20:43+09:00
﻿﻿아 트럼프 똥 오지게싸네 미장진짜 ㅋㅋㅋ,아 트럼프 똥 오지게싸네 미장진짜,아 트럼프 똥 오지게싸네 미장진짜 ㅋㅋㅋ,2025-03-31T23:56:20+09:00
﻿﻿쌀때 사서 비쌀때 판다..!!,쌀때 사서 비쌀때 판다,쌀때 사서 비쌀때 판다..!!,2025-03-29T15:09:59+09:00
﻿﻿아우지겨워,아우지겨워,아우지겨워,2025-03-28T22:44:17+09:00
﻿﻿내일 얼마나 떨어지려고 이러는 거야...,내일 얼마나 떨어지려고 이러는 거야,내일 얼마나 떨어지려고 이러는 거야...,2025-04-02T04:57:48+09:00
﻿﻿혼자 어디로 가누?,혼자 어디로 가누,혼자 어디로 가누?,2025-03-25T23:14:07+09:00
﻿﻿물탈 돈 없다 인연아..,물탈 돈 없다 인연아,물탈 돈 없다 인연아..,2025-03-28T17:22:57+09:00
﻿﻿115불좀가자,115불좀가자,115불좀가자,2025-03-28T19:35:02+09:00
﻿﻿걍 던져 돈잃고 난테 시비니?,걍 던져 돈잃고 난테 시비니,걍 던져 돈잃고 난테 시비니?,2025-04-01T06:03:49+09:00
﻿﻿100불은 절대 안깨지겠지?!,100불은 절대 안깨지겠지,100불은 절대 안깨지겠지?!,2025-03-31T12:15:08+09:00
﻿﻿엔비는 계속달릴수 밖에 없는 주식이다  5년째 장기투자 하고 있습니다.  성투하시고 언제나 홧팅입니다^~^,엔비는 계속달릴수 밖에 없는 주식이다 5년째 장기투자 하고 있습니다 성투하시고 언제나 홧팅입니다,엔비는 계속달릴수 밖에 없는 주식이다 5년째 장기투자 하고 있습니다. 성투하시고 언제나 홧팅입니다,2025-03-24T19:28:03+09:00
﻿﻿용돈벌어갑니다 성투하세요,용돈벌어갑니다 성투하세요,용돈벌어갑니다 성투하세요,2025-03-28T22:45:05+09:00
﻿﻿트럼프가 불가능한 3선을 가능하게 하는 방법이 있다고 하던데... 생각만 해도 끔찍하다 3선이 된다면 주식들 반의 반토막 나지 않을까,트럼프가 불가능한 3선을 가능하게 하는 방법이 있다고 하던데 생각만 해도 끔찍하다 3선이 된다면 주식들 반의 반토막 나지 않을까,트럼프가 불가능한 3선을 가능하게 하는 방법이 있다고 하던데... 생각만 해도 끔찍하다 3선이 된다면 주식들 반의 반토막 나지 않을까,2025-03-31T09:12:49+09:00
﻿﻿어떻게 버티게?,어떻게 버티게,어떻게 버티게?,2025-03-31T18:03:17+09:00
﻿﻿한때 엔비 팔란 테슬이 묶음으로 떠러질땐 별 생각이 없었습니다.  왜냐하면 시장 자체의 흐름으로 펀더멘털을 무시하고 내리는 거라고 생각했기 때문입니다.  그런데 일주일 전쯤 부터 세트로 움직였던 빅테크 기업들이 개별로 움직이기 시작했습니다. 그때부턴 개별 경쟁력으로 움직이는 거라고 생각했고 팔란티어나 테슬라가 올라가고 엔비디아가 혼자 주춤하면서 불안감이 생기기 시작했습니다.  이건 장의 흐름이 아니라 개별 기업의 문제이기 때문이라고 생각했기 때문입니다.,한때 엔비 팔란 테슬이 묶음으로 떠러질땐 별 생각이 없었습니다 왜냐하면 시장 자체의 흐름으로 펀더멘털을 무시하고 내리는 거라고 생각했기 때문입니다 그런데 일주일 전쯤 부터 세트로 움직였던 빅테크 기업들이 개별로 움직이기 시작했습니다 그때부턴 개별 경쟁력으로 움직이는 거라고 생각했고 팔란티어나 테슬라가 올라가고 엔비디아가 혼자 주춤하면서 불안감이 생기기 시작했습니다 이건 장의 흐름이 아니라 개별 기업의 문제이기 때문이라고 생각했기 때문입니다,한때 엔비 팔란 테슬이 묶음으로 떠러질땐 별 생각이 없었습니다. 왜냐하면 시장 자체의 흐름으로 펀더멘털을 무시하고 내리는 거라고 생각했기 때문입니다. 그런데 일주일 전쯤 부터 세트로 움직였던 빅테크 기업들이 개별로 움직이기 시작했습니다. 그때부턴 개별 경쟁력으로 움직이는 거라고 생각했고 팔란티어나 테슬라가 올라가고 엔비디아가 혼자 주춤하면서 불안감이 생기기 시작했습니다. 이건 장의 흐름이 아니라 개별 기업의 문제이기 때문이라고 생각했기 때문입니다.,2025-03-27T23:37:49+09:00
﻿﻿기도,기도,기도,2025-04-01T21:04:27+09:00
﻿﻿꽃이지고나서야 봄인줄 알았다 정말 갈때됬다고 곱게쳐가지 막지르네 진짜 노답중에 노답 곱게늙지,꽃이지고나서야 봄인줄 알았다 정말 갈때됬다고 곱게쳐가지 막지르네 진짜 노답중에 노답 곱게늙지,꽃이지고나서야 봄인줄 알았다 정말 갈때됬다고 곱게쳐가지 막지르네 진짜 노답중에 노답 곱게늙지,2025-03-31T10:09:09+09:00
﻿﻿오늘도 나락이군...기대감 1도 없다 이젠ㅋㅋㅋㅋ 빠지등가 말등가...에휴,오늘도 나락이군기대감 1도 없다 이젠 빠지등가 말등가에휴,오늘도 나락이군...기대감 1도 없다 이젠ㅋㅋㅋㅋ 빠지등가 말등가...에휴,2025-03-27T20:43:31+09:00
﻿﻿돔황챠!,돔황챠,돔황챠!,2025-03-28T18:01:45+09:00
﻿﻿엔비디아의 살인스텝 ㄷㄷ,엔비디아의 살인스텝,엔비디아의 살인스텝 ㄷㄷ,2025-03-27T01:14:50+09:00
﻿﻿가즈아!!!,가즈아,가즈아!!!,2025-03-24T23:07:09+09:00
﻿﻿젠슨황은 중국이나 빨고 있으니  트럼프 눈밖 ㅈㅈ,젠슨황은 중국이나 빨고 있으니 트럼프 눈밖,젠슨황은 중국이나 빨고 있으니 트럼프 눈밖 ㅈㅈ,2025-03-25T12:04:54+09:00
﻿﻿미장은 서비스 종료다....!,미장은 서비스 종료다,미장은 서비스 종료다....!,2025-03-28T23:21:48+09:00
﻿﻿올해 3번째로 싸네요,올해 3번째로 싸네요,올해 3번째로 싸네요,2025-03-26T23:26:43+09:00
﻿﻿그건 바로 나야나~,그건 바로 나야나,그건 바로 나야나,2025-03-27T18:16:32+09:00
﻿﻿에라이...  또 내리네... 빨라도 4월 이후에나 오르겠다,에라이 또 내리네 빨라도 4월 이후에나 오르겠다,에라이... 또 내리네... 빨라도 4월 이후에나 오르겠다,2025-03-27T21:29:11+09:00
﻿﻿오늘은 시마이~ 개 잣같은 주식 퉤 음전해라 걍,오늘은 시마이 개 잣같은 주식 퉤 음전해라 걍,오늘은 시마이 개 잣같은 주식 퉤 음전해라 걍,2025-04-02T01:36:08+09:00
﻿﻿관세=> 금리인하 명분 쌓기중  트럼옹이 만족할 금리때까지 금리 인하 해야 관세 딜 멈춤.  한마디로 지금은 관망 및 존버타임,관세 금리인하 명분 쌓기중 트럼옹이 만족할 금리때까지 금리 인하 해야 관세 딜 멈춤 한마디로 지금은 관망 및 존버타임,관세 금리인하 명분 쌓기중 트럼옹이 만족할 금리때까지 금리 인하 해야 관세 딜 멈춤. 한마디로 지금은 관망 및 존버타임,2025-04-02T13:23:50+09:00
﻿﻿담주부터 상승장이면 좋겠어 ㅜㅜ,담주부터 상승장이면 좋겠어,담주부터 상승장이면 좋겠어 ㅜㅜ,2025-03-29T09:36:56+09:00
﻿﻿어제 부로 2만달러치 경기방어주 비밀꿀통 다 털고   엔비.아마존등 할인하는 기술주들 추매했습니다.  역시 경기방어주는 늘 갖고있어야겠습니다. 국채는  호흡이 너무길고 답답해서 못사겠더라고요.  다들 경기방어주 즐겨찾기 해놓으셨다가 떨어질때 줍줍하셔요.,어제 부로 2만달러치 경기방어주 비밀꿀통 다 털고 엔비아마존등 할인하는 기술주들 추매했습니다 역시 경기방어주는 늘 갖고있어야겠습니다 국채는 호흡이 너무길고 답답해서 못사겠더라고요 다들 경기방어주 즐겨찾기 해놓으셨다가 떨어질때 줍줍하셔요,어제 부로 2만달러치 경기방어주 비밀꿀통 다 털고 엔비.아마존등 할인하는 기술주들 추매했습니다. 역시 경기방어주는 늘 갖고있어야겠습니다. 국채는 호흡이 너무길고 답답해서 못사겠더라고요. 다들 경기방어주 즐겨찾기 해놓으셨다가 떨어질때 줍줍하셔요.,2025-04-01T11:18:59+09:00
﻿﻿지금 장투한다라 지나가던 똥개도 웃을듯,지금 장투한다라 지나가던 똥개도 웃을듯,지금 장투한다라 지나가던 똥개도 웃을듯,2025-03-28T09:58:43+09:00
﻿﻿ㅠㅠ그맘내려가ㅠㅠㅠ,그맘내려가,ㅠㅠ그맘내려가ㅠㅠㅠ,2025-03-31T19:24:53+09:00
﻿﻿110무너지고 105 침공당해서  주주들 학살하고있을듯,110무너지고 105 침공당해서 주주들 학살하고있을듯,110무너지고 105 침공당해서 주주들 학살하고있을듯,2025-03-28T00:27:48+09:00
﻿﻿나스닥 선물이 좀 떨어졌는데 혹시 무슨 소식이라도 있나요 그냥 정상화인가,나스닥 선물이 좀 떨어졌는데 혹시 무슨 소식이라도 있나요 그냥 정상화인가,나스닥 선물이 좀 떨어졌는데 혹시 무슨 소식이라도 있나요 그냥 정상화인가,2025-04-01T19:39:36+09:00
﻿﻿뭐야,뭐야,뭐야,2025-03-28T22:35:59+09:00
﻿﻿슈퍼파월,슈퍼파월,슈퍼파월,2025-03-28T08:20:05+09:00
﻿﻿테슬라따라가자~~,테슬라따라가자,테슬라따라가자,2025-03-27T23:38:20+09:00
﻿﻿점점 초조해지네요 역시 초보의 한계가,점점 초조해지네요 역시 초보의 한계가,점점 초조해지네요 역시 초보의 한계가,2025-03-31T09:42:49+09:00
﻿﻿그냥 105까지 내려가라  100주 채우게,그냥 105까지 내려가라 100주 채우게,그냥 105까지 내려가라 100주 채우게,2025-03-28T23:59:19+09:00
﻿﻿팔란티어는 100불을 향해 가고 있구나.  평단 81불을 포기하고 너한테 왔지만 후회는 없어. 넌 엔비니까 .... ㅈㄱㄹ,팔란티어는 100불을 향해 가고 있구나 평단 81불을 포기하고 너한테 왔지만 후회는 없어 넌 엔비니까,팔란티어는 100불을 향해 가고 있구나. 평단 81불을 포기하고 너한테 왔지만 후회는 없어. 넌 엔비니까 .... ㅈㄱㄹ,2025-03-25T21:48:46+09:00
﻿﻿122뚫어 이제 니차례야,122뚫어 이제 니차례야,122뚫어 이제 니차례야,2025-03-24T23:38:36+09:00
﻿﻿갑니다 무조건 지금 줄때드세요~~,갑니다 무조건 지금 줄때드세요,갑니다 무조건 지금 줄때드세요,2025-03-24T20:04:55+09:00
﻿﻿오늘도 세일하나요?,오늘도 세일하나요,오늘도 세일하나요?,2025-03-28T18:25:12+09:00
﻿﻿참 재미없는 주식이네 ㅋㅋ,참 재미없는 주식이네,참 재미없는 주식이네 ㅋㅋ,2025-04-02T04:31:46+09:00
﻿﻿11만원까진 떨어지겠누,11만원까진 떨어지겠누,11만원까진 떨어지겠누,2025-04-01T22:47:24+09:00
﻿﻿폭싹 날렸수다,폭싹 날렸수다,폭싹 날렸수다,2025-04-01T00:25:17+09:00
﻿﻿다들 인버스로 오시죠,다들 인버스로 오시죠,다들 인버스로 오시죠,2025-03-26T18:23:32+09:00
﻿﻿지옥간다 여기서방어해라~~,지옥간다 여기서방어해라,지옥간다 여기서방어해라,2025-03-26T23:47:35+09:00
﻿﻿주린이입니다. 성투하세요🙏,주린이입니다 성투하세요,주린이입니다. 성투하세요,2025-03-25T06:31:59+09:00
﻿﻿이건  계속  거래들    하네,이건 계속 거래들 하네,이건 계속 거래들 하네,2025-04-02T09:54:21+09:00
﻿﻿오늘도 행복한하루 보내십쇼 😊,오늘도 행복한하루 보내십쇼,오늘도 행복한하루 보내십쇼,2025-04-02T11:00:38+09:00
﻿﻿이제 적응 완료 아무렇지도 않다,이제 적응 완료 아무렇지도 않다,이제 적응 완료 아무렇지도 않다,2025-03-27T00:29:05+09:00
﻿﻿오르는건 0.1% 내리는건 10% : ),오르는건 01 내리는건 10,오르는건 0.1 내리는건 10,2025-03-31T22:40:43+09:00
﻿﻿값비싼 임금축내는 미국대신 중국에 진출하는것이 더 도움되겠다. 알리.테무 알라뷰,값비싼 임금축내는 미국대신 중국에 진출하는것이 더 도움되겠다 알리테무 알라뷰,값비싼 임금축내는 미국대신 중국에 진출하는것이 더 도움되겠다. 알리.테무 알라뷰,2025-03-29T00:35:09+09:00
﻿﻿엔비디아 니가 올라야 모두가 산다,엔비디아 니가 올라야 모두가 산다,엔비디아 니가 올라야 모두가 산다,2025-03-28T22:09:56+09:00
﻿﻿또 시작이네...ㅋㅋㅋㅋㅋ맨날 하락만하네..좀 오르고 떨어지는거면 이해라도 하겠는데 뭘 막은게있어야 뱉어내지...ㅡㅡ,또 시작이네맨날 하락만하네좀 오르고 떨어지는거면 이해라도 하겠는데 뭘 막은게있어야 뱉어내지,또 시작이네...ㅋㅋㅋㅋㅋ맨날 하락만하네..좀 오르고 떨어지는거면 이해라도 하겠는데 뭘 막은게있어야 뱉어내지...ㅡㅡ,2025-03-27T00:10:38+09:00
﻿﻿야마가 돕니다,야마가 돕니다,야마가 돕니다,2025-03-27T02:20:54+09:00
﻿﻿오늘은 죽어도 안주려나보다 이유가 따로 있는 건가,오늘은 죽어도 안주려나보다 이유가 따로 있는 건가,오늘은 죽어도 안주려나보다 이유가 따로 있는 건가,2025-03-26T04:22:34+09:00
﻿﻿그래서 엔비디아 안쓸거야? ㅋㅋㅋㅋ어짜피 올라가,그래서 엔비디아 안쓸거야 어짜피 올라가,그래서 엔비디아 안쓸거야? ㅋㅋㅋㅋ어짜피 올라가,2025-03-27T16:41:47+09:00
﻿﻿입니다,입니다,입니다,2025-03-28T22:24:16+09:00
﻿﻿바닥 찍었는데 올라가자..,바닥 찍었는데 올라가자,바닥 찍었는데 올라가자..,2025-04-01T11:16:47+09:00
﻿﻿현재 나스닥의 기술적 지표를 보기 쉽게 담아 내었습니다.  피드백은 편하게 주셔도 좋습니다.  부디 좋은 결과만 펼쳐지기를 바랍니다.,현재 나스닥의 기술적 지표를 보기 쉽게 담아 내었습니다 피드백은 편하게 주셔도 좋습니다 부디 좋은 결과만 펼쳐지기를 바랍니다,현재 나스닥의 기술적 지표를 보기 쉽게 담아 내었습니다. 피드백은 편하게 주셔도 좋습니다. 부디 좋은 결과만 펼쳐지기를 바랍니다.,2025-04-01T21:05:12+09:00
﻿﻿2분기 중 시험 생산을 시작할 예정입니다. 다만 공급망 관계자에 따르면 GB200 랙 조립 복잡도가 예상치를 훨씬 초과했으며 비록 수율이 개선되었지만 CSP(클라우드 서비스 제공업체) 고객들이 성숙도가 높은 HGX 8카드 시리즈 제품으로 전환한 것으로 알려졌습니다.   업계 전문가들은 GB300 샘플이 올해 4분기쯤 제공될 것으로 보고 있으며 생산 지연이 대만 부품 및 조립 공급망에 큰 압박을 가할 것이며 상위 칩 제조업체에도 영향을 줄 가능성이 있다고 분석하고 있습니다.  📈팔로우하시고 경제력 업그레이드 하세요!📈,2분기 중 시험 생산을 시작할 예정입니다 다만 공급망 관계자에 따르면 GB200 랙 조립 복잡도가 예상치를 훨씬 초과했으며 비록 수율이 개선되었지만 CSP클라우드 서비스 제공업체 고객들이 성숙도가 높은 HGX 8카드 시리즈 제품으로 전환한 것으로 알려졌습니다 업계 전문가들은 GB300 샘플이 올해 4분기쯤 제공될 것으로 보고 있으며 생산 지연이 대만 부품 및 조립 공급망에 큰 압박을 가할 것이며 상위 칩 제조업체에도 영향을 줄 가능성이 있다고 분석하고 있습니다 팔로우하시고 경제력 업그레이드 하세요,2분기 중 시험 생산을 시작할 예정입니다. 다만 공급망 관계자에 따르면 GB200 랙 조립 복잡도가 예상치를 훨씬 초과했으며 비록 수율이 개선되었지만 CSP클라우드 서비스 제공업체 고객들이 성숙도가 높은 HGX 8카드 시리즈 제품으로 전환한 것으로 알려졌습니다. 업계 전문가들은 GB300 샘플이 올해 4분기쯤 제공될 것으로 보고 있으며 생산 지연이 대만 부품 및 조립 공급망에 큰 압박을 가할 것이며 상위 칩 제조업체에도 영향을 줄 가능성이 있다고 분석하고 있습니다. 팔로우하시고 경제력 업그레이드 하세요!,2025-04-01T21:21:48+09:00
﻿﻿105 입벌려봅니다,105 입벌려봅니다,105 입벌려봅니다,2025-03-28T18:50:10+09:00
﻿﻿잠도 않자가며. 없는돈. 조금씩이라두     물타서 여기까지 왓네요    과연 잘한것인지...,잠도 않자가며 없는돈 조금씩이라두 물타서 여기까지 왓네요 과연 잘한것인지,잠도 않자가며. 없는돈. 조금씩이라두 물타서 여기까지 왓네요 과연 잘한것인지...,2025-03-25T03:57:04+09:00
﻿﻿나는 여기 입장 하는순간부터 최소 5년 보고있긴한데,나는 여기 입장 하는순간부터 최소 5년 보고있긴한데,나는 여기 입장 하는순간부터 최소 5년 보고있긴한데,2025-03-31T22:55:35+09:00
﻿﻿중국이 점점 비싼 ai칩이 필요없단걸 증명하고 있어서  이 실적이 지속가능한가에 대한 의문이 커지는중임… 저도 비중 줄이고 상대적으로 영향을 덜받는 지속가능한 실적이 나올수있는 다른 주식으로 옮기는게 조금 좋을수도 있다고봄,중국이 점점 비싼 ai칩이 필요없단걸 증명하고 있어서 이 실적이 지속가능한가에 대한 의문이 커지는중임 저도 비중 줄이고 상대적으로 영향을 덜받는 지속가능한 실적이 나올수있는 다른 주식으로 옮기는게 조금 좋을수도 있다고봄,중국이 점점 비싼 ai칩이 필요없단걸 증명하고 있어서 이 실적이 지속가능한가에 대한 의문이 커지는중임 저도 비중 줄이고 상대적으로 영향을 덜받는 지속가능한 실적이 나올수있는 다른 주식으로 옮기는게 조금 좋을수도 있다고봄,2025-03-26T22:44:01+09:00
﻿﻿또 왜이래,또 왜이래,또 왜이래,2025-04-02T14:57:10+09:00
﻿﻿님들 제가 팜 오를꺼임,님들 제가 팜 오를꺼임,님들 제가 팜 오를꺼임,2025-03-25T23:44:38+09:00
﻿﻿트형 관세 불확실성으로 선반영되어 매를 먼저 맞음.  그런 다음 뜬 기사가 관세 완화 할 수도 있다는 기사와 머스크 5월 도지 사임 기사로 오늘은 프장부터 흐름 좋을 것으로 예상하고 본장도 분위기 좋을 거 같아.  반박시 형말이 맞음.  긍정적으로 생각해.  비관적이면 될것도 안되니까.,트형 관세 불확실성으로 선반영되어 매를 먼저 맞음 그런 다음 뜬 기사가 관세 완화 할 수도 있다는 기사와 머스크 5월 도지 사임 기사로 오늘은 프장부터 흐름 좋을 것으로 예상하고 본장도 분위기 좋을 거 같아 반박시 형말이 맞음 긍정적으로 생각해 비관적이면 될것도 안되니까,트형 관세 불확실성으로 선반영되어 매를 먼저 맞음. 그런 다음 뜬 기사가 관세 완화 할 수도 있다는 기사와 머스크 5월 도지 사임 기사로 오늘은 프장부터 흐름 좋을 것으로 예상하고 본장도 분위기 좋을 거 같아. 반박시 형말이 맞음. 긍정적으로 생각해. 비관적이면 될것도 안되니까.,2025-04-01T17:20:09+09:00
﻿﻿저 잘못 샀어요. 환불 좀 해주세요  ㅠㅠ,저 잘못 샀어요 환불 좀 해주세요,저 잘못 샀어요. 환불 좀 해주세요 ㅠㅠ,2025-03-27T12:52:31+09:00
﻿﻿진짜 또람푸야 이게 뭐냐,진짜 또람푸야 이게 뭐냐,진짜 또람푸야 이게 뭐냐,2025-03-31T23:29:12+09:00
﻿﻿양자 건드렸자나 너도 당해봐!,양자 건드렸자나 너도 당해봐,양자 건드렸자나 너도 당해봐!,2025-04-01T00:07:27+09:00
﻿﻿올라갈 겁니다 힘내십쇼,올라갈 겁니다 힘내십쇼,올라갈 겁니다 힘내십쇼,2025-04-02T11:19:51+09:00
﻿﻿115 왔네.  반등나와줘야지~?,115 왔네 반등나와줘야지,115 왔네. 반등나와줘야지?,2025-03-26T23:16:58+09:00
﻿﻿야미,야미,야미,2025-03-31T23:12:38+09:00
﻿﻿115깨진다~,115깨진다,115깨진다,2025-03-26T23:17:26+09:00
﻿﻿사실 이번주 호재가 있다면 옵션 상황도 그렇고 125불은 찍을수 있을 가능성이 존재 했으나   금일 무빙으로 봐서는 금요일 120불 터치하면서 120불 콜물량때문에 살짝 하방압력받으면서 마무리 될거같네요.  어차피 이번주는 115 풋물량이 꽤나 강해서 그 이하로는 안떨어지겠지만 115~120 사이에서 와리가리 할거라 보시면 됩니다.  본격적인 상승은 다음주부터 슬슬 반등이 나오기 시작하면서 130불을 향해 달려가지 싶어요.  다들 멘탈 잘 잡으시고 힘내세요. ㅎㅎ,사실 이번주 호재가 있다면 옵션 상황도 그렇고 125불은 찍을수 있을 가능성이 존재 했으나 금일 무빙으로 봐서는 금요일 120불 터치하면서 120불 콜물량때문에 살짝 하방압력받으면서 마무리 될거같네요 어차피 이번주는 115 풋물량이 꽤나 강해서 그 이하로는 안떨어지겠지만 115120 사이에서 와리가리 할거라 보시면 됩니다 본격적인 상승은 다음주부터 슬슬 반등이 나오기 시작하면서 130불을 향해 달려가지 싶어요 다들 멘탈 잘 잡으시고 힘내세요,사실 이번주 호재가 있다면 옵션 상황도 그렇고 125불은 찍을수 있을 가능성이 존재 했으나 금일 무빙으로 봐서는 금요일 120불 터치하면서 120불 콜물량때문에 살짝 하방압력받으면서 마무리 될거같네요. 어차피 이번주는 115 풋물량이 꽤나 강해서 그 이하로는 안떨어지겠지만 115120 사이에서 와리가리 할거라 보시면 됩니다. 본격적인 상승은 다음주부터 슬슬 반등이 나오기 시작하면서 130불을 향해 달려가지 싶어요. 다들 멘탈 잘 잡으시고 힘내세요. ㅎㅎ,2025-03-26T22:55:21+09:00
﻿﻿황씨 ᆢㅂㅂ2,황씨 2,황씨 ㅂㅂ2,2025-04-01T08:37:42+09:00
﻿﻿현재 엔비 120달러에 10주 있는데요 숏은 절대 안갈꺼고 200~300만원어치를 더 투자하려는데 엔비에 물타는게 맞을까요 아니면 롱에 투자하는게 맞을까요? 장투하려 합니다  +투표해주신 선생님들 안바쁘시다면 시간내주시어 투표하신 의견좀 여쭙고 싶습니다🙇‍♂️,현재 엔비 120달러에 10주 있는데요 숏은 절대 안갈꺼고 200300만원어치를 더 투자하려는데 엔비에 물타는게 맞을까요 아니면 롱에 투자하는게 맞을까요 장투하려 합니다 투표해주신 선생님들 안바쁘시다면 시간내주시어 투표하신 의견좀 여쭙고 싶습니다,현재 엔비 120달러에 10주 있는데요 숏은 절대 안갈꺼고 200300만원어치를 더 투자하려는데 엔비에 물타는게 맞을까요 아니면 롱에 투자하는게 맞을까요? 장투하려 합니다 투표해주신 선생님들 안바쁘시다면 시간내주시어 투표하신 의견좀 여쭙고 싶습니다,2025-03-29T03:40:59+09:00
